name	taxid
Pteropus associated gemycircularvirus 8	1985402
Pteropus associated gemycircularvirus 9	1985403
Rat associated gemycircularvirus 1	1985405
Sewage associated gemycircularvirus 3	1843761
Sheep associated gemycircularvirus 1	1985412
Canine associated gemygorvirus 1	1985425
Mallard associated gemygorvirus 1	1985426
Pteropus associated gemygorvirus 1	1985427
Sewage derived gemygorvirus 1	1985428
Starling associated gemygorvirus 1	1985429
Badger associated gemykibivirus 1	1634484
Black robin associated gemykibivirus 1	1391037
Blackbird associated gemykibivirus 1	1391038
Bovine associated gemykibivirus 1	2004486
Human associated gemykibivirus 1	2004487
Human associated gemykibivirus 2	2004957
Human associated gemykibivirus 3	2004960
Human associated gemykibivirus 4	2004961
Human associated gemykibivirus 5	2004962
Mongoose associated gemykibivirus 1	2004963
Pteropus associated gemykibivirus 1	2004964
Rhinolophus associated gemykibivirus 2	2004966
Sewage derived gemykibivirus 1	2004967
Pteropus associated gemykolovirus 1	2005505
Pteropus associated gemykolovirus 2	2005506
Bovine associated gemykrogvirus 1	1985416
Rabbit associated gemykroznavirus 1	1985420
Ostrich associated gemytondvirus 1	1985419
Human associated gemyvongvirus 1	1985415
Longquan loanvirus	2501379
Laibin mobatvirus	2501380
Nova mobatvirus	2501381
Quezon mobatvirus	2501382
Andes orthohantavirus	1980456
Asama orthohantavirus	1980457
Asikkala orthohantavirus	1980458
Bayou orthohantavirus	1980459
Black Creek Canal orthohantavirus	1980460
Bowe orthohantavirus	1980461
Bruges orthohantavirus	1980462
Cano Delgadito orthohantavirus	1980463
Cao Bang orthohantavirus	1980464
Choclo orthohantavirus	1980465
Dabieshan orthohantavirus	1980466
Dobrava-Belgrade orthohantavirus	1980467
El Moro Canyon orthohantavirus	1980468
Fugong orthohantavirus	1980469
Fusong orthohantavirus	1980470
Hantaan orthohantavirus	1980471
Hantavirus Z10	93830
Jeju orthohantavirus	1980473
Kenkeme orthohantavirus	1980474
Khabarovsk orthohantavirus	1980475
Laguna Negra orthohantavirus	1980476
Luxi orthohantavirus	1980479
Maporal orthohantavirus	1980480
Montano orthohantavirus	1980481
Necocli orthohantavirus	1980482
Oxbow orthohantavirus	1980484
Prospect Hill orthohantavirus	1980485
Puumala orthohantavirus	1980486
Rockport orthohantavirus	1980488
Sangassou orthohantavirus	1980489
Seoul orthohantavirus	1980490
Sin Nombre orthohantavirus	1980491
Thailand orthohantavirus	1980492
Tula orthohantavirus	1980494
Yakeshi orthohantavirus	1980495
Imjin thottimvirus	2501369
Thottopalayam thottimvirus	2501370
Bluegill hepatitis B virus	2169918
Domestic cat hepadnavirus	2107574
Tibetan frog hepatitis B virus	2169919
White sucker hepatitis B virus	1690672
Duck hepatitis B virus	12639
Heron hepatitis B virus	28300
Parrot hepatitis B virus	1128118
Tinamou hepatitis B virus	2018685
